N°;Prefijo Departamento;Departamento;Provincia;Localidad;Proyecto;Nombre de ODN/ODN Name;Nombre_de_OLT/OLT_Name;OUTDOOR/INDOOR;MODELO DE OLT;NAP (Qty);Usuarios Proyectados;Urb/Rur;OLT Location;RPM;Nombre de OLT (en  el prompt de OLT);Latitud OLT (Grados decimales (DD)) Ej: 41.40338;Longitud OLT (Grados decimales (DD)) Ej: 2.17403.;Status;OLT Upgrade;Fecha ATP ODN/ATP ODN Date;Fecha de Comisionamiento OLT/OLT Commissioning Date;Fecha ATP Instalación Gabinete/ATP Installation Cabinet Date;Fecha ATP OLT de Servicios/Services ATP OLT Date;Fecha ATP OTDR/ATP OTDR Date;Fecha ATP Energía/Date ATP Energy;Sitio de interconexión a OSN (capa 2);Equipo de agregación (Carrier Entel) - A;PUERTO AGREGADOR - A;Equipo de agregación (Carrier Entel) - B;PUERTO AGREGADOR - B;Equipo de agregación (Carrier Entel) - Name Location (Nombre de localidad/sitio);Latitud Agregador (Grados decimales (DD)) Ej: 41.40338;Longitud Agregador (Grados decimales (DD)) Ej: 2.17403.;FECHA DE HABILITACION - NUEVO NETNUMEN;"SEGMENTO
IP OLT GESTIÓN";GATEWAY GESTIÓN;IP OLT GESTIÓN;VLAN TR069;SEGMENTO IP POOL EASY GATEWAY TR069;VLAN DE GESTIÓN;VLANs OUTER PPPoE;VLANs OUTER PPPoE(SECOND);VLANs OUTER VPN & IPoE ;VLAN OUTER TELEFONIA;IP SEGMENTO DE RED TELEFONIA/VOICE SEGMENT;VLAN OUTER IPTV;IP SEGMENTO DE RED IPTV/IPTV SEGMENT;SEGMENTO IP OTDR;GATEWAY IP OTDR;IP OTDR;VLAN OTDR;SEGMENTO IP Modulo de Energia (ETMC);GATEWAY IP Modulo de Energia (ETMC);IP Modulo de Energia (ETMC);VLAN MODULO DE ENERGÍA (ETMC)
100;TJA;TARIJA;Cercado;SAN ANDRÉS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAN_ANDRÉS;OUTDOOR;ZTE - C620;NA;1024;Rural;SAN ANDRÉS;DANIEL ABASTO;OLT_SAN_ANDRÉS_TJA;-2,162,218,535;-6,481,989,632;;;;;;;;;;Alto Senac;;;;;-21.537156;-64.762266;;10.57.92.112/28;10.57.92.113;10.57.92.119;4008;;939;4015-4016;;4017;4002;10.121.96.0/24;2102;10.248.214.0/24;10.36.30.128/28;10.36.30.129;10.36.30.134;2241;10.129.6.128/28;10.129.6.129;10.129.6.134;2231
101;TJA;TARIJA;Mendez;ISCAYACHI;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ISCAYACHI;OUTDOOR;ZTE - C620;NA;1024;Rural;ISCAYACHI;DANIEL ABASTO;OLT_ISCAYACHI_TJA;-214.833;-649.712;;;;;;;;;Iscayachi;El Puente;;;;;-21.25029;-65.20723;;10.57.92.160/29;10.57.92.161;10.57.92.164;4008;;939;4009-4010;;4011;4000;10.121.97.0/24;2100;10.248.215.0/24;10.36.30.160/28;10.36.30.161;10.36.30.164;2240;10.129.6.160/28;10.129.6.161;10.129.6.164;2230
102;TJA;TARIJA;Avilés;YUNCHARÁ;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;YUNCHARÁ;OUTDOOR;ZTE - C620;NA;1024;Rural;YUNCHARÁ;DANIEL ABASTO;OLT_YUNCHARÁ_TJA;-21,823,019;-65,230,608;;;;;;;;;Yunchará;El Puente;;;;;-21.25029;-65.20723;;10.57.92.160/29;10.57.92.161;10.57.92.165;4008;;939;4012-4013;;4014;4001;10.121.98.0/24;2101;10.153.244.0/24;10.36.30.160/28;10.36.30.161;10.36.30.165;2240;10.129.6.160/28;10.129.6.161;10.129.6.165;2230
103;TJA;TARIJA;Burnet O'Connor;PALOS BLANCOS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;PALOS_BLANCOS;OUTDOOR;ZTE - C620;NA;1024;Rural;PALOS BLANCOS;DANIEL ABASTO;OLT_PALOS_BLANCOS_TJA;-21,414,702;-63,784,134;;;;;;;;;Palos Blancos;Yacuiba;;;;;-22.05285;-63.68789;;10.57.92.240/28;10.57.92.241;10.57.92.246;4008;;939;4012-4013;;4014;4001;10.121.99.0/24;2102;10.153.245.0/24;10.36.30.144/28;10.36.30.145;10.36.30.149;2240;10.129.6.144/28;10.129.6.145;10.129.6.149;2230
104;TJA;TARIJA;Arce;LA MAMORA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;LA_MAMORA;OUTDOOR;ZTE - C620;NA;1024;Rural;LA MAMORA;DANIEL ABASTO;OLT_LA_MAMORA_TJA;-22,181,478;-64,663,903;;;;;;;;;La Mamora;Bermejo;;;;;-22.729139;-64.338773;;10.194.8.128/27;10.194.8.129;10.194.8.133;4008;;939;4012-4013;;4014;2216;10.121.100.0/24;2101;10.153.246.0/24;10.36.30.176/28;10.36.30.177;10.36.30.180;2240;10.129.6.176/28;10.129.6.177;10.129.6.180;2230
105;PTS;POTOSI;Chayanta;POCOATA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;POCOATA;OUTDOOR;ZTE - C620;NA;1024;Rural;POCOATA;JOEL GUTIERREZ;OLT_POCOATA_PTS;-186.985;-661.637;;;;;;;;;Pocoata;Llallagua;;;;;-18.423803;-66.587167;;10.249.103.192/28;10249103193;10249103199;4008;;939;4089;;4090;4091;10.121.200.0/24;2303;10.153.223.0/24;10.36.30.80/28;10.36.30.81;10.36.30.87;940;10.129.6.80/28;10.129.6.81;10.129.6.87;941
106;PTS;POTOSI;Rafael Bustillo;CHUQUIUTA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;CHUQUIUTA;OUTDOOR;ZTE - C620;NA;1024;Rural;CHUQUIUTA;JOEL GUTIERREZ;OLT_CHUQUIUTA_PTS;-18,592,707;-66,356,879;;;;;;;;;Chuquiuta;Llallagua;;;;;-18.423803;-66.587167;;10.249.103.192/28;10249103193;10249103200;4008;;939;4092;;4093;4094;10.121.201.0/24;2304;10.114.148.0/24;10.36.30.80/28;10.36.30.81;10.36.30.88;940;10.129.6.80/28;10.129.6.81;10.129.6.88;941
107;PTS;POTOSI;Chayanta;SAN PEDRO DE BUENA VISTA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAN_PEDRO_DE_BUENA_VISTA;OUTDOOR;ZTE - C620;NA;1024;Rural;SAN PEDRO DE BUENA VISTA;JOEL GUTIERREZ;OLT_SAN_PEDRO_DE_BUENA_VISTA_PTS;-1,826,716;-6,598,364;;;;;;;;;San Pedro de Buena Vista;Llallagua;;;;;-18.423803;-66.587167;;10.249.103.192/28;10249103193;10249103201;4008;;939;4045;;4046;4047;10.121.202.0/24;2305;10.114.149.0/24;10.36.30.80/28;10.36.30.81;10.36.30.89;940;10.129.6.80/28;10.129.6.81;10.129.6.89;941
108;PTS;POTOSI;Charcas;TORO TORO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;TORO_TORO;OUTDOOR;ZTE - C620;NA;1024;Rural;TORO TORO;JOEL GUTIERREZ;OLT_TORO_TORO_PTS;-18,134,462;-65,748,468;;;;;;;;;Toro Toro;Llallagua;;;;;-18.423803;-66.587167;;10.249.103.192/28;10249103193;10249103202;4008;;939;4048;;4049;4050;10.121.203.0/24;2306;10.114.150.0/24;10.36.30.80/28;10.36.30.81;10.36.30.90;940;10.129.6.80/28;10.129.6.81;10.129.6.90;941
109;PTS;POTOSI;Nor Chichas;COTAGAITA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;COTAGAITA;OUTDOOR;ZTE - C620;NA;1024;Rural;COTAGAITA;JOEL GUTIERREZ;OLT_COTAGAITA_PTS;-20,813,062;-65,660,898;;;;;;;;;Acceso Temporal por Microondas);Potosí Central - 03;;;;;-19.587992;-65.756532;;10.194.8.216/29;10.194.8.217;10.194.8.222;4008;;939;4057;;4058;4059;10.121.204.0/24;2292;10.114.151.0/24;10.36.30.64/28;10.36.30.65;10.36.30.70;940;10.129.6.64/28;10.129.6.65;10.129.6.70;941
110;ORU;ORURO;Pantaleón Dalence;MACHACAMARCA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;MACHACAMARCA;OUTDOOR;ZTE - C620;NA;1024;Rural;MACHACAMARCA;ANGEL VELIZ;OLT_MACHACAMARCA_ORU;-18,173,571;-67,019,592;;;;;;;;;Machacamarca;Central Oruro - 03;;;;;-17.970187;-67.113765;;10.194.10.240/28;10.194.10.241;10.194.10.244;4008;;939;1309;;1310;1230;10.254.156.0/24;1409;10.114.164.0/24;10.36.30.192/28;10.36.30.193;10.36.30.199;940;10.129.6.192/28;10.129.6.193;10.129.6.199;941
111;ORU;ORURO;Sajama;CURAHUARA DE CARANGAS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;CURAHUARA_DE_CARANGAS;OUTDOOR;ZTE - C620;NA;1024;Rural;CURAHUARA DE CARANGAS;ANGEL VELIZ;OLT_CURAHUARA_DE_CARANGAS_ORU;-17,811,021;-6,844,117;;;;;;;;;Curahuara de Carangas;Central Oruro - 03;;;;;-17.970187;-67.113765;;10.194.10.240/28;10.194.10.241;10.194.10.245;4008;;939;1311;;1312;1231;10.254.157.0/24;1410;10.114.165.0/24;10.36.30.192/28;10.36.30.193;10.36.30.200;940;10.129.6.192/28;10.129.6.193;10.129.6.200;941
112;ORU;ORURO;Poopó;POOPÓ;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;POOPÓ;OUTDOOR;ZTE - C620;NA;1024;Rural;POOPÓ;ANGEL VELIZ;OLT_POOPÓ_ORU;-18,382,656;-6,697,203;;;;;;;;;Pazña;Challapata;;;;;-18.896031;-66.773281;;10.194.10.176/28;10.194.10.177;10.194.10.181;4008;;939;1313;;1314;1232;10.254.158.0/24;1411;10.114.166.0/24;10.36.30.240/29;10.36.30.241;10.36.30.244;940;10.129.6.240/29;10.129.6.241;10.129.6.244;941
113;ORU;ORURO;Tomás Barrón;EUCALIPTUS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;EUCALIPTUS;OUTDOOR;ZTE - C620;NA;1024;Rural;EUCALIPTUS;ANGEL VELIZ;OLT_EUCALIPTUS_ORU;-17,597,393;-67,508,798;;;;;;;;;Eucaliptus;Caracollo;;;;;-17.65012;-67.20496;;10.129.191.0/29;10.129.191.1;10.129.191.4;4008;;939;1307;;1308;1229;10.254.159.0/24;1408;10.114.167.0/24;10.36.30.248/29;10.36.30.249;10.36.30.252;3990;10.129.6.248/29;10.129.6.249;10.129.6.252;3991
114;SCZ;SANTA CRUZ;Vallegrande;EL TRIGAL;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;EL_TRIGAL;OUTDOOR;ZTE - C620;NA;1024;Rural;EL TRIGAL;DANIEL ABASTO;OLT_EL_TRIGAL_SCZ;-18,306,542;-64,148,872;;;;;;;;;El Trigal;La Palizada;;;;;-18.068824;-64.426521;;10.129.191.8/29;10.129.191.9;10.129.191.12;4008;;939;1901;;1900;3904;10.121.80.0/24;2104;10.119.86.0/24;10.129.176.96/28;10.129.176.97;10129176100;940;10.129.180.96/28;10.129.180.97;10129180100;941
115;SCZ;SANTA CRUZ;Ichilo;SAN GERMÁN;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAN_GERMÁN;OUTDOOR;ZTE - C620;NA;1024;Rural;SAN GERMÁN;DANIEL ABASTO;OLT_SAN_GERMÁN_SCZ;-17,349,226;-64,092,094;;;;;;;;;San Germán;Yapacani;;;;;-17.400228;-63.883119;;10.194.8.224/27;10.194.8.225;10.194.8.229;4008;;939;1901;;1900;3902;10.121.81.0/24;2102;10.119.87.0/24;10.129.176.112/28;10129176113;10129176116;940;10.129.180.112/28;10129180113;10129180116;941
116;SCZ;SANTA CRUZ;Florida;QUIRUSILLAS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;QUIRUSILLAS;OUTDOOR;ZTE - C620;NA;1024;Rural;QUIRUSILLAS;DANIEL ABASTO;OLT_QUIRUSILLAS_SCZ;-18,334,894;-63,946,137;;;;;;;;;Quirusillas;Samaipata;;;;;-18.175816;-63.877784;;10.194.9.64/27;10.194.9.65;10.194.9.70;4008;;939;1901;;1900;3903;10.121.82.0/24;2103;10.119.88.0/24;10.129.176.16/28;10.129.176.17;10.129.176.21;940;10.129.180.16/28;10.129.180.17;10.129.180.21;941
117;SCZ;SANTA CRUZ;Obispo Santistevan;SAGRADO CORAZÓN;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAGRADO_CORAZÓN;OUTDOOR;ZTE - C620;NA;1024;Rural;SAGRADO CORAZÓN;DANIEL ABASTO;OLT_SAGRADO_CORAZÓN_SCZ;-1,684,528;-63,432,722;;;;;;;;;Sagrado Corazón;Montero;;;;;-17.345833;-63.255;;10.57.92.0/28;10.57.92.1;10.57.92.5;4008;;939;1901;;1900;3904;10.121.83.0/24;2104;10.119.89.0/24;10.129.176.128/28;10129176129;10129176132;940;10.129.180.128/28;10129180129;10129180132;941
118;SCZ;SANTA CRUZ;Velasco;SANTA ROSA DE LA ROCA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SANTA_ROSA_DE_LA_ROCA;INDOOR;ZTE - C620;NA;1024;Rural;SANTA ROSA DE LA ROCA;DANIEL ABASTO;OLT_SANTA_ROSA_DE_LA_ROCA_SCZ;-15,914,083;-61,440,594;;;;;;;;;Santa Rosa de la Roca;San Ignacio de Velasco;;;;;-16.377153;-60.96024;;10.249.103.224/29;10249103225;10249103229;4008;;939;1901;;1900;3903;10.121.84.0/24;2103;10.119.90.0/24;10.129.176.48/28;10.129.176.49;10.129.176.53;940;10.129.180.48/28;10.129.180.49;10.129.180.53;941
119;SCZ;SANTA CRUZ;ÑUFLO DE CHAVEZ;LOS TRONCOS;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;LOS_TRONCOS;INDOOR;ZTE - C620;NA;1024;Rural;LOS TRONCOS;DANIEL ABASTO;OLT_LOS_TRONCOS_SCZ;-17,065,861;-62,639,194;;;;;;;;;NA;Los Troncos;;;;;;;;10.129.191.144/28;10,129,191,145;10129191148;4008;;939;1901;;1900;3900;10.121.85.0/24;2100;10.119.91.0/24;10.129.176.144/28;10,129,176,145;10,129,176,148;940;10.129.180.144/28;10,129,180,145;10,129,180,148;941
120;PND;PANDO;Abuna;ABUNÁ;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ABUNÁ;OUTDOOR;ZTE - C620;NA;1024;Rural;ABUNÁ;WILSON VARGAS;OLT_ABUNÁ_PND;-10,608,686;-67,453,772;;;;;;;;;Abuná;Central Cobija;;;;;;;;10.243.6.128/25;10.243.6.129;10.243.6.135;4008;;939;4054;;4056;4053;10.254.248.0/24;4052;10.36.84.0/24;10.36.30.32/28;10.36.30.33;10.36.30.37;940;10.129.6.32/28;10.129.6.33;10.129.6.37;941
121;PND;PANDO;Madre de Dios;BLANCA FLOR;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;BLANCA_FLOR;OUTDOOR;ZTE - C620;NA;1024;Rural;BLANCA FLOR;WILSON VARGAS;OLT_BLANCA_FLOR_PND;-11,718,003;-66,934,378;;;;;;;;;Blanca Flor;Sena;;;;;;;;10.129.191.16/29;10.129.191.17;10.129.191.20;4008;;939;4044;;4046;4043;10.254.249.0/24;4042;10.36.85.0/24;10.36.30.48/29;10.36.30.49;10.36.30.52;940;10.129.6.48/29;10.129.6.49;10.129.6.52;941
122;PND;PANDO;Madre de Dios;GONZALO MORENO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;GONZALO_MORENO;OUTDOOR;ZTE - C620;NA;1024;Rural;GONZALO MORENO;WILSON VARGAS;OLT_GONZALO_MORENO_PND;-11,082,273;-66,174,485;;;;;;;;;Gonzalo Moreno;Riberalta;;;;;;;;10.57.92.192/28;10.57.92.193;10.57.92.199;4008;;939;4032;;4031;4030;10.254.250.0/24;2604;10.36.86.0/24;10.36.30.0/28;10.36.30.1;10.36.30.5;940;10.129.6.0/28;10.129.6.1;10.129.6.5;941
123;CBB;COCHABAMBA;Chapare;SAN GABRIEL;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;SAN_GABRIEL;OUTDOOR;ZTE - C620;NA;1024;Rural;SAN GABRIEL;MAICKOL QUINTEROS;OLT_SAN_GABRIEL_CBB;-16,672,995;-65.625;;;;;;;;;San Gabriel;Valle Central;;;;;;;;10.249.103.240/28;10249103241;10,249,103,248;4008;;939;1242;;1349;3962;10.247.83.0/24;4004;10.119.189.0/24;10.129.177.0/28;10.129.177.1;10.129.177.8;940;10.129.181.0/28;10.129.181.1;10.129.181.8;941
124;CBB;COCHABAMBA;Punata;VILLA RIVERO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;VILLA_RIVERO;OUTDOOR;ZTE - C620;NA;1024;Rural;VILLA RIVERO;MAICKOL QUINTEROS;OLT_VILLA_RIVERO_CBB;-17.613570°;-65.813536°;;;;;;;;;Villa Rivero;Punata;;;;;;;;10.201.129.224/27;10,201,129,225;10,201,129,246;4008;;939;1243;;1350;3963;10.247.84.0/24;3751;10.119.190.0/24;10.36.29.112/28;10.36.29.113;10.36.29.118;940;10.129.5.112/28;10,129,181,113;10,129,181,118;941
125;CBB;COCHABAMBA;Esteban Arce;TARATA;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;TARATA;OUTDOOR;ZTE - C620;NA;1024;Rural;TARATA;MAICKOL QUINTEROS;OLT_TARATA_CBB;-17,609,803;-66,028,728;;;;;;;;;Tarata;Punata;;;;;;;;10.194.8.208/29;10.194.8.209;10.194.8.212;4008;;939;1244;;1351;3964;10.247.85.0/24;3752;10.119.191.0/24;10.36.29.48/28;10.36.29.49;10.36.29.52;940;10.129.5.48/28;10.129.5.49;10.129.5.52;941
126;CBB;COCHABAMBA;Arani;ARANI;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ARANI;OUTDOOR;ZTE - C620;NA;1024;Rural;ARANI;MAICKOL QUINTEROS;OLT_ARANI_CBB;-17.571500°;-65.770550°;;;;;;;;;Arani;Punata;;;;;;;;10.129.191.48/28;10.129.191.49;10.129.191.54;4008;;939;1245;;1352;3965;10.247.86.0/24;3753;10.119.160.0/24;10.129.177.48/28;10.129.177.49;10.129.177.54;940;10.129.181.48/28;10.129.181.49;10.129.181.54;941
127;CBB;COCHABAMBA;Esteban Arce;ANZALDO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;ANZALDO;OUTDOOR;ZTE - C620;NA;1024;Rural;ANZALDO;MAICKOL QUINTEROS;OLT_ANZALDO_CBB;-17,781,585;-65,934,571;;;;;;;;;Anzaldo;Punata;;;;;;;;10.129.191.48/28;10.129.191.49;10.129.191.52;4008;;939;1246;;1353;3966;10.247.87.0/24;3754;10.119.161.0/24;10.129.177.48/28;10.129.177.49;10.129.177.52;940;10.129.181.48/28;10.129.181.49;10.129.181.52;941
128;CBB;COCHABAMBA;Esteban Arce;CRUCE ARBIETO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;CRUCE_ARBIETO;OUTDOOR;ZTE - C620;NA;1024;Rural;CRUCE ARBIETO;MAICKOL QUINTEROS;OLT_CRUCE_ARBIETO_CBB;-17.544478°;-66.005112°;;;;;;;;;Tolata;Punata;;;;;;;;10.129.191.48/28;10.129.191.49;10.129.191.56;4008;;939;1247;;1354;3967;10.247.88.0/24;3755;10.119.162.0/24;10.129.177.48/28;10.129.177.49;10.129.177.56;940;10.129.181.48/28;10.129.181.49;10.129.181.56;941
129;CBB;COCHABAMBA;Carrasco;POJO;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;POJO;OUTDOOR;ZTE - C620;NA;1024;Rural;POJO;MAICKOL QUINTEROS;OLT_POJO_CBB;-17,757,161;-6,486,292;;;;;;;;;Pojo;Villa Esperanza;;;;;;;;10.129.191.32/28;10.129.191.33;10.129.191.36;4008;;939;1248;;1355;3968;10.247.89.0/24;3756;10.119.163.0/24;10.129.177.64/28;10.129.177.65;10.129.177.68;940;10.129.181.64/28;10.129.181.65;10.129.181.68;941
130;BNI;BENI;Vaca Diez;GUAYARAMERÍN 2;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;GUAYARAMERÍN_2;OUTDOOR;ZTE - C620;NA;1024;Rural;GUAYARAMERÍN 2;MAICKOL QUINTEROS;OLT_GUAYARAMERÍN_2_BNI;-10,832,635;-65,353,094;;;;;;;;;No tiene;Guayaramerín;;;;;;;;10.57.92.200/28;10.57.92.209;10.57.92.213;4008;;939;4029;;4028;4027;10.254.245.0/24;2604;10.36.80.0/24;10.36.30.56/29;10.36.30.57;10.36.30.60;940;10.129.6.56/29;10.129.6.57;10.129.6.60;941
131;BNI;BENI;Itenez;BAURES;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;BAURES;OUTDOOR;ZTE - C620;NA;1024;Rural;BAURES;MAICKOL QUINTEROS;OLT_BAURES_BNI;-13,658,013;-63,697,901;;;;;;;;;Baures;San Ramón;;;;;-13.270917;-64.611444;;10.194.10.32/27;10.194.10.33;10.194.10.39;4008;;939;4017;;4016;4015;10.254.246.0/24;2603;10.36.81.0/24;10.36.30.16/28;10.36.30.17;10.36.30.21;940;10.129.6.16/28;10.129.6.17;10.129.6.21;941
132;BNI;BENI;Itenez;HUACARAJE;“NUEVOS NODOS FTTH CONTINGENCIA – EQUIPOS OLT OTDR” - GPON RURAL 2;NA;HUACARAJE;OUTDOOR;ZTE - C620;NA;1024;Rural;HUACARAJE;MAICKOL QUINTEROS;OLT_HUACARAJE_BNI;-13,597,465;-63,877,939;;;;;;;;;Huacaraje;San Ramón;;;;;-13.270917;-64.611444;;10.194.10.32/27;10.194.10.33;10.194.10.40;4008;;939;4023;;4022;4021;10.254.247.0/24;2604;10.36.82.0/24;10.36.30.16/28;10.36.30.17;10.36.30.22;940;10.129.6.16/28;10.129.6.17;10.129.6.22;941
133;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_AYACUCHO_LP_TEST_TITAN_C600;INDOOR (OLT TEST);ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_AYACUCHO_LP_TEST_TITAN_C600_LPZ;;;;;;;;;;;;;;;;;;;;;;10.201.128.45;4008;;939;4020;0;4021;4022;10.253.120.0/23;4023;10.114.223.0/24;NA;NA;NA;NA;NA;NA;NA;NA
134;LPZ;LA PAZ;;;“PROVISIÓN DE TARJETAS DE LÍNEA GPON PARA OLT ZTE”;;LPZ-OLT-C600-ZTE-TEST;INDOOR;ZTE - C600;;;;;NELSON BOTETANO;OLT_LPZ-OLT-C600-ZTE-TEST_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.45;;;;;;;;;;;NA;NA;NA;NA;NA;NA;NA;NA
135;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_AYACUCHO_LP_TEST;INDOOR (OLT TEST);ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_AYACUCHO_LP_TEST_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.36;4008;;939;4011;1704;4012;4009;10.253.126.0/23;537;10.247.250.0 /24;NA;NA;NA;NA;NA;NA;NA;NA
136;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ENTEL_AYACUCHO_LP;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ENTEL_AYACUCHO_LP_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.37;4008;;939;4041 - 4051;1705;4042;2210;10.245.10.0/23 - 10.245.80.0/20;2274;10.246.136.0/21;NA;NA;NA;NA;NA;NA;NA;NA
137;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;ESTACIÓN_TELEFERICO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_ESTACIÓN_TELEFERICO_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.38;4008;;939;4031;1706;4032;2220;10.245.28.0/23;2276;10.246.160.0/20;NA;NA;NA;NA;NA;NA;NA;NA
138;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;CEMENTERIO_TELEFERICO;OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_CEMENTERIO_TELEFERICO_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.39;4008;;939;4043;1707;4044;2233;10.245.36.0/23;2277;10.246.176.0/20;NA;NA;NA;NA;NA;NA;NA;NA
139;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;BS._AIRES2_TELEFERICO_(COTAHUMA);OUTDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_BS._AIRES2_TELEFERICO_(COTAHUMA)_LPZ;;;;;;;;;;;;;;;;;;;;10.201.128.32/27;10.201.128.33;10.201.128.40;4008;;939;4045;1708;4046;2234;10.245.38.0/23;2278;10.246.192.0/20;NA;NA;NA;NA;NA;NA;NA;NA
140;LPZ;LA PAZ;;;“PROVISIÓN DE EQUIPOS, MATERIALES Y SERVICIOS PARA NUEVA RED FTTX – GPON FASE 2”;;EDIF._FRANCIA;INDOOR;ZTE - C300;;;;;NELSON BOTETANO;OLT_EDIF._FRANCIA_LPZ;;;;;;;;;;;;;;;;;;;;10.249.103.64/27;10.249.103.65;10.249.103.68;4008;;939;4019;1700;4020;2214;10.245.18.0/23 - 10.245.96.0/22;2279;10.247.204.0/22;NA;NA;NA;NA;NA;NA;NA;NA
